value,frequency,pdf,cdf
1,3138,0.4784995425434584,0.4784995425434584
2,787,0.12000609942055505,0.5985056419640135
3,381,0.05809698078682525,0.6566026227508387
4,248,0.037816407441293075,0.6944190301921318
5,184,0.028057334553217444,0.7224763647453493
6,135,0.02058554437328454,0.7430619091186338
7,103,0.015706007929246722,0.7587679170478805
8,90,0.013723696248856358,0.7724916132967369
9,74,0.011283928026837451,0.7837755413235743
10,65,0.009911558401951815,0.7936870997255261
11,54,0.008234217749313814,0.8019213174748399
12,42,0.006404391582799634,0.8083257090576395
13,44,0.006709362610551998,0.8150350716681914
14,52,0.007929246721561452,0.8229643183897529
15,33,0.005032021957913998,0.8279963403476669
16,28,0.004269594388533089,0.8322659347362
17,25,0.003812137846904544,0.8360780725831046
18,20,0.0030497102775236353,0.8391277828606283
19,23,0.0035071668191521805,0.8426349496797805
20,23,0.0035071668191521805,0.8461421164989327
21,21,0.003202195791399817,0.8493443122903325
22,16,0.002439768222018908,0.8517840805123513
23,19,0.0028972247636474533,0.8546813052759987
24,11,0.0016773406526379995,0.8563586459286368
25,18,0.0027447392497712718,0.859103385178408
26,8,0.001219884111009454,0.8603232692894175
27,9,0.0013723696248856359,0.8616956389143031
28,16,0.002439768222018908,0.864135407136322
29,14,0.0021347971942665446,0.8662702043305885
30,11,0.0016773406526379995,0.8679475449832266
31,11,0.0016773406526379995,0.8696248856358646
32,15,0.0022872827081427266,0.8719121683440073
33,13,0.001982311680390363,0.8738944800243976
34,11,0.0016773406526379995,0.8755718206770357
35,6,0.0009149130832570906,0.8764867337602927
36,11,0.0016773406526379995,0.8781640744129308
37,12,0.0018298261665141812,0.8799939005794449
38,10,0.0015248551387618177,0.8815187557182067
39,3,0.0004574565416285453,0.8819762122598352
40,5,0.0007624275693809088,0.8827386398292162
41,6,0.0009149130832570906,0.8836535529124733
42,8,0.001219884111009454,0.8848734370234828
43,4,0.000609942055504727,0.8854833790789874
44,6,0.0009149130832570906,0.8863982921622445
45,7,0.0010673985971332723,0.8874656907593778
46,9,0.0013723696248856359,0.8888380603842634
47,5,0.0007624275693809088,0.8896004879536443
48,6,0.0009149130832570906,0.8905154010369014
49,3,0.0004574565416285453,0.89097285757853
50,7,0.0010673985971332723,0.8920402561756632
51,4,0.000609942055504727,0.8926501982311679
52,3,0.0004574565416285453,0.8931076547727964
53,4,0.000609942055504727,0.8937175968283011
54,6,0.0009149130832570906,0.8946325099115582
55,3,0.0004574565416285453,0.8950899664531867
56,7,0.0010673985971332723,0.89615736505032
57,3,0.0004574565416285453,0.8966148215919485
58,12,0.0018298261665141812,0.8984446477584627
59,2,0.0003049710277523635,0.8987496187862151
60,7,0.0010673985971332723,0.8998170173833483
61,5,0.0007624275693809088,0.9005794449527292
62,6,0.0009149130832570906,0.9014943580359863
63,7,0.0010673985971332723,0.9025617566331195
64,2,0.0003049710277523635,0.902866727660872
65,3,0.0004574565416285453,0.9033241842025005
66,6,0.0009149130832570906,0.9042390972857576
67,4,0.000609942055504727,0.9048490393412623
68,1,0.00015248551387618176,0.9050015248551384
69,2,0.0003049710277523635,0.9053064958828908
70,4,0.000609942055504727,0.9059164379383955
71,5,0.0007624275693809088,0.9066788655077764
72,5,0.0007624275693809088,0.9074412930771574
73,3,0.0004574565416285453,0.9078987496187859
74,5,0.0007624275693809088,0.9086611771881669
75,4,0.000609942055504727,0.9092711192436715
76,1,0.00015248551387618176,0.9094236047575477
77,3,0.0004574565416285453,0.9098810612991762
78,2,0.0003049710277523635,0.9101860323269286
79,4,0.000609942055504727,0.9107959743824333
81,5,0.0007624275693809088,0.9115584019518143
82,1,0.00015248551387618176,0.9117108874656904
83,2,0.0003049710277523635,0.9120158584934428
84,1,0.00015248551387618176,0.9121683440073189
85,3,0.0004574565416285453,0.9126258005489475
87,3,0.0004574565416285453,0.913083257090576
88,2,0.0003049710277523635,0.9133882281183284
89,2,0.0003049710277523635,0.9136931991460808
90,1,0.00015248551387618176,0.913845684659957
91,3,0.0004574565416285453,0.9143031412015855
92,1,0.00015248551387618176,0.9144556267154617
93,4,0.000609942055504727,0.9150655687709663
94,3,0.0004574565416285453,0.9155230253125949
95,5,0.0007624275693809088,0.9162854528819758
97,3,0.0004574565416285453,0.9167429094236044
98,2,0.0003049710277523635,0.9170478804513568
99,1,0.00015248551387618176,0.9172003659652329
100,4,0.000609942055504727,0.9178103080207376
101,2,0.0003049710277523635,0.91811527904849
103,1,0.00015248551387618176,0.9182677645623661
104,3,0.0004574565416285453,0.9187252211039947
105,2,0.0003049710277523635,0.9190301921317471
106,2,0.0003049710277523635,0.9193351631594995
107,1,0.00015248551387618176,0.9194876486733756
108,3,0.0004574565416285453,0.9199451052150042
109,2,0.0003049710277523635,0.9202500762427566
110,6,0.0009149130832570906,0.9211649893260137
111,2,0.0003049710277523635,0.921469960353766
112,3,0.0004574565416285453,0.9219274168953946
113,1,0.00015248551387618176,0.9220799024092707
114,2,0.0003049710277523635,0.9223848734370231
115,3,0.0004574565416285453,0.9228423299786517
116,3,0.0004574565416285453,0.9232997865202802
117,1,0.00015248551387618176,0.9234522720341564
118,3,0.0004574565416285453,0.9239097285757849
119,3,0.0004574565416285453,0.9243671851174134
120,4,0.000609942055504727,0.9249771271729181
121,4,0.000609942055504727,0.9255870692284228
122,2,0.0003049710277523635,0.9258920402561752
123,2,0.0003049710277523635,0.9261970112839276
124,3,0.0004574565416285453,0.9266544678255562
125,2,0.0003049710277523635,0.9269594388533086
126,1,0.00015248551387618176,0.9271119243671847
127,2,0.0003049710277523635,0.9274168953949371
128,4,0.000609942055504727,0.9280268374504418
129,1,0.00015248551387618176,0.9281793229643179
130,1,0.00015248551387618176,0.9283318084781941
131,2,0.0003049710277523635,0.9286367795059465
132,2,0.0003049710277523635,0.9289417505336989
135,1,0.00015248551387618176,0.929094236047575
138,3,0.0004574565416285453,0.9295516925892036
139,2,0.0003049710277523635,0.929856663616956
140,2,0.0003049710277523635,0.9301616346447084
141,1,0.00015248551387618176,0.9303141201585845
142,1,0.00015248551387618176,0.9304666056724606
144,2,0.0003049710277523635,0.930771576700213
145,1,0.00015248551387618176,0.9309240622140892
146,1,0.00015248551387618176,0.9310765477279653
148,3,0.0004574565416285453,0.9315340042695939
149,1,0.00015248551387618176,0.93168648978347
150,3,0.0004574565416285453,0.9321439463250986
152,3,0.0004574565416285453,0.9326014028667271
153,1,0.00015248551387618176,0.9327538883806032
154,1,0.00015248551387618176,0.9329063738944794
155,3,0.0004574565416285453,0.9333638304361079
156,2,0.0003049710277523635,0.9336688014638603
157,2,0.0003049710277523635,0.9339737724916127
159,4,0.000609942055504727,0.9345837145471174
160,2,0.0003049710277523635,0.9348886855748698
161,1,0.00015248551387618176,0.935041171088746
162,3,0.0004574565416285453,0.9354986276303745
164,2,0.0003049710277523635,0.9358035986581269
165,2,0.0003049710277523635,0.9361085696858793
166,3,0.0004574565416285453,0.9365660262275078
168,1,0.00015248551387618176,0.936718511741384
172,3,0.0004574565416285453,0.9371759682830125
173,1,0.00015248551387618176,0.9373284537968887
174,1,0.00015248551387618176,0.9374809393107648
175,1,0.00015248551387618176,0.937633424824641
177,4,0.000609942055504727,0.9382433668801456
179,1,0.00015248551387618176,0.9383958523940218
180,3,0.0004574565416285453,0.9388533089356503
181,1,0.00015248551387618176,0.9390057944495265
185,1,0.00015248551387618176,0.9391582799634026
188,2,0.0003049710277523635,0.939463250991155
190,4,0.000609942055504727,0.9400731930466597
195,1,0.00015248551387618176,0.9402256785605358
196,2,0.0003049710277523635,0.9405306495882882
197,1,0.00015248551387618176,0.9406831351021644
199,1,0.00015248551387618176,0.9408356206160405
200,1,0.00015248551387618176,0.9409881061299167
201,1,0.00015248551387618176,0.9411405916437928
202,1,0.00015248551387618176,0.941293077157669
209,1,0.00015248551387618176,0.9414455626715451
210,1,0.00015248551387618176,0.9415980481854213
211,1,0.00015248551387618176,0.9417505336992974
218,1,0.00015248551387618176,0.9419030192131735
220,4,0.000609942055504727,0.9425129612686782
221,2,0.0003049710277523635,0.9428179322964306
222,1,0.00015248551387618176,0.9429704178103068
223,1,0.00015248551387618176,0.9431229033241829
226,1,0.00015248551387618176,0.9432753888380591
227,1,0.00015248551387618176,0.9434278743519352
228,3,0.0004574565416285453,0.9438853308935637
229,4,0.000609942055504727,0.9444952729490684
233,1,0.00015248551387618176,0.9446477584629446
236,4,0.000609942055504727,0.9452577005184493
237,4,0.000609942055504727,0.945867642573954
239,1,0.00015248551387618176,0.9460201280878301
241,2,0.0003049710277523635,0.9463250991155825
244,1,0.00015248551387618176,0.9464775846294586
245,2,0.0003049710277523635,0.946782555657211
246,2,0.0003049710277523635,0.9470875266849634
254,1,0.00015248551387618176,0.9472400121988396
256,1,0.00015248551387618176,0.9473924977127157
257,1,0.00015248551387618176,0.9475449832265919
261,2,0.0003049710277523635,0.9478499542543443
262,1,0.00015248551387618176,0.9480024397682204
267,1,0.00015248551387618176,0.9481549252820966
270,1,0.00015248551387618176,0.9483074107959727
272,4,0.000609942055504727,0.9489173528514774
275,1,0.00015248551387618176,0.9490698383653535
277,1,0.00015248551387618176,0.9492223238792297
279,1,0.00015248551387618176,0.9493748093931058
282,1,0.00015248551387618176,0.949527294906982
283,2,0.0003049710277523635,0.9498322659347344
284,2,0.0003049710277523635,0.9501372369624868
286,1,0.00015248551387618176,0.9502897224763629
287,1,0.00015248551387618176,0.950442207990239
290,1,0.00015248551387618176,0.9505946935041152
291,2,0.0003049710277523635,0.9508996645318676
292,2,0.0003049710277523635,0.95120463555962
293,1,0.00015248551387618176,0.9513571210734961
295,1,0.00015248551387618176,0.9515096065873723
296,3,0.0004574565416285453,0.9519670631290008
300,1,0.00015248551387618176,0.952119548642877
303,1,0.00015248551387618176,0.9522720341567531
304,1,0.00015248551387618176,0.9524245196706292
305,3,0.0004574565416285453,0.9528819762122578
306,3,0.0004574565416285453,0.9533394327538863
309,1,0.00015248551387618176,0.9534919182677625
313,1,0.00015248551387618176,0.9536444037816386
318,2,0.0003049710277523635,0.953949374809391
319,1,0.00015248551387618176,0.9541018603232672
321,1,0.00015248551387618176,0.9542543458371433
324,1,0.00015248551387618176,0.9544068313510194
330,1,0.00015248551387618176,0.9545593168648956
331,1,0.00015248551387618176,0.9547118023787717
332,1,0.00015248551387618176,0.9548642878926479
335,1,0.00015248551387618176,0.955016773406524
340,1,0.00015248551387618176,0.9551692589204002
341,1,0.00015248551387618176,0.9553217444342763
343,3,0.0004574565416285453,0.9557792009759049
348,1,0.00015248551387618176,0.955931686489781
350,1,0.00015248551387618176,0.9560841720036571
351,1,0.00015248551387618176,0.9562366575175333
352,3,0.0004574565416285453,0.9566941140591618
353,1,0.00015248551387618176,0.956846599573038
356,1,0.00015248551387618176,0.9569990850869141
357,1,0.00015248551387618176,0.9571515706007903
360,1,0.00015248551387618176,0.9573040561146664
361,2,0.0003049710277523635,0.9576090271424188
363,1,0.00015248551387618176,0.9577615126562949
365,1,0.00015248551387618176,0.9579139981701711
370,2,0.0003049710277523635,0.9582189691979235
372,1,0.00015248551387618176,0.9583714547117996
