route_a,route_b
上海服装仓2号库,021F008
上海百货B家居日用仓3号库,021F008
上海生鲜仓2号库（新）,021F008
上海亚一商超A个护清洁仓2号库,512F008
512F008,021F008
上海商超A休闲食品仓3号库,021F008
上海亚一商超A休闲食品仓5号库,512F008
上海服装仓1号库,021F008
上海商超B米面粮油仓2号库,021F008
泰州药品仓1号库,523F004
523F004,512F004
512F004,021F008
上海蒙牛商超协同仓,021F008
上海3CA数码通讯仓1号库,021F008
上海维达商超协同仓,021F008
上海亚一商超B个护清洁仓2号库,512F008
上海服装仓5号库,021F008
上海商超A个护清洁仓7号库,021F008
上海百货B家居日用仓4号库,021F008
上海亚一商超A个护清洁仓1号库,512F008
广州博展分拣中心,769F001
769F001,021F009
021F009,021F008
上海品星商超协同仓,021F008
上海商超A个护清洁仓6号库,021F008
昆山药品仓1号库,512F008
上海商超A休闲食品仓6号库,021F008
上海百货B家居日用仓2号库,021F008
上海商超B牛奶水饮仓3号库,021F008
上海商超B米面粮油仓1号库,021F008
上海外高桥保税综合仓1号库,512F004
上海商超A休闲食品仓4号库,021F008
上海商超B个护清洁仓2号库,021F008
上海生鲜仓3号库（新）,021F008
上海亚洲一号中件库,021F005
021F005,021F008
上海商超B母婴玩具仓1号库,021F008
上海亚一商超B牛奶水饮仓2号库,512F008
上海亚一图书音像仓1号库,512F008
上海亚一商超A休闲食品仓2号库,021F008
上海家纺综合协同仓,513F002
513F002,021F008
上海共享仓2号库,021F008
上海亚一3CA数码通讯仓2号库,021F015
021F015,021F008
上海百货B家具建材仓3号库,021F008
上海商超B母婴玩具仓3号库,512F055
512F055,021F008
上海百货B车旅用品仓1号库,021F008
上海商超B牛奶水饮仓6号库,021F008
上海亚一商超B个护清洁仓1号库,512F008
上海亚一生活小电仓2号库,021F008
上海公共平台仓7号库,021F008
上海亚一百货A家具建材仓2号库,512F008
上海商超B宠物园艺仓2号库,021F008
上海商超B宠物园艺仓1号库,021F008
上海商超A休闲食品仓2号库,021F008
昆山药品仓1号库,512F055
512F055,512F012
512F012,021F008
上海生鲜仓3号库,021Y072
上海公共平台仓22号库,573F001
573F001,021F008
武汉商超B米面粮油仓2号库,027F002
027F002,512F012
昆山药品仓1号库,512F012
成都综合仓1号库,028F029
028F029,028F020
028F020,512F012
武汉亚一3CA数码通讯仓1号库,027F010
027F010,027F002
泰州药品仓1号库,571F099
571F099,021F008
上海金红叶商超协同仓,021F008
上海亚一百货B家居日用仓2号库,512F008
上海百货B家居日用仓1号库,021F008
上海生鲜仓1号库,021F008
上海服装仓3号库,021F008
上海品利商超协同仓,021F008
上海亚一商超A个护清洁仓9号库,021F008
泰州药品仓1号库,021F008
上海生鲜仓2号库,021F008
宁波北仑保税综合仓1号库,574F003
574F003,021F008
武汉药品仓1号库,027F006
027F006,027F074
027F074,021F008
上海商超A休闲食品仓T6号库,021Y072
广州商超B米面粮油仓5号库,021Y072
广州黄埔保税综合仓2号库,769F001
769F001,021F008
广州黄埔保税综合仓1号库,769F001
广州商超B米面粮油仓1号库,021F008
上海无人仓1号库,021F015
上海生鲜仓4号库,021F008
上海亚一综合A仓1号库,021F008
泰州药品仓1号库,021Y072
上海亚一3CA数码通讯仓2号库,021Y072
上海商超A休闲食品仓T6号库,021F008
上海亚一商超A个护清洁仓1号库,021Y072
昆山药品仓1号库,021Y072
广州商超A休闲食品仓5号库,757F042
757F042,021F008
广州亚一综合A仓1号库,020F009
020F009,020F008
020F008,021F008
上海洁柔商超协同仓,512F008
上海商超B米面粮油仓3号库,021F008
广州3CB电脑办公仓4号库,020F008
金华金义保税平台协同仓1号库,579F010
579F010,021F008
