route_a,route_b
上海百货B车旅用品仓1号库,021F008
金华金义保税平台协同仓1号库,579F010
579F010,021F008
上海亚一商超B个护清洁仓2号库,512F008
512F008,021F008
上海生鲜仓3号库,021F008
上海亚一商超A个护清洁仓1号库,512F008
上海生鲜仓2号库,021F008
上海亚一生活小电仓2号库,021F008
上海服装仓5号库,021F008
上海服装仓2号库,021F008
上海商超B牛奶水饮仓6号库,021F008
上海商超B母婴玩具仓2号库,021F008
上海综合仓1号库,021F008
上海亚一百货B家居日用仓2号库,512F008
上海商超B牛奶水饮仓5号库,021F008
上海亚一商超B个护清洁仓1号库,512F008
上海亚一3CA数码通讯仓2号库,021F015
021F015,021F008
上海商超B母婴玩具仓5号库,021F008
上海百货B家居日用仓1号库,021F008
广州亚一综合A仓1号库,020F009
020F009,769F001
769F001,021F008
上海3CA电脑办公仓3号库,021F008
上海3CA数码通讯仓1号库,021F008
上海商超A休闲食品仓4号库,021F008
上海商超A个护清洁仓7号库,021F008
上海亚一图书音像仓1号库,512F008
上海亚一商超B牛奶水饮仓2号库,512F008
上海亚一商超A休闲食品仓2号库,021F008
上海亚一商超A休闲食品仓5号库,512F008
上海服装仓3号库,021F008
上海商超B母婴玩具仓1号库,021F008
上海维达商超协同仓,021F008
上海亚一商超B米面粮油仓2号库,021F008
上海百货B家居日用仓7号库,512F004
512F004,021F008
上海商超B宠物园艺仓2号库,021F008
上海公共平台仓7号库,021F008
上海亚一3CA电脑办公仓1号库,512F008
上海亚洲一号中件库,021F005
021F005,021F008
上海商超B牛奶水饮仓4号库,021F008
上海亚一商超A个护清洁仓2号库,512F008
上海百货B家具建材仓5号库,571F099
571F099,021F008
上海亚一服装仓4号库,021F015
上海蒙牛商超协同仓,021F008
上海亚一综合A仓1号库,021F008
上海商超B牛奶水饮仓1号库,021F008
上海宝胜KA仓3号库,512F004
上海亚一商超A个护清洁仓3号库,512F008
上海商超A个护清洁仓10号库,021F008
上海隆力奇KA仓1号库,512F055
512F055,021F008
上海百货B家具建材仓1号库,571F099
成都青白江保税平台协同仓1号库,028F020
028F020,551F011
551F011,021F008
上海亚一综合仓1号库,021F008
